Production Lot,Parts Code,Line No,Stock Address,Parts Name,Comment,Length (mm),Quantity,Required Kanban,,,,,,,,,,,,
3,02KXU,4105,SPECIAL KANBAN,VO16X0.6(B)-FALP,With Slit,140,50,2,,,,,,,,,,,,
3,02KY1,4105,SPECIAL KANBAN,VO18X0.6(B)-FALP,With Slit,380,50,2,,,,,,,,,,,,
3,02KY9,4105,F6-30,VO16X1(B)-FALP,With Slit,240,50,2,,,,,,,,,,,,
3,01JJS,4105,Temp Location,VSC50BS,,175,100,2,,,,,,,,,,,,
3,02KXU,4105,J2-10,VO6X0.5(B)-FALP,With Slit,220,100,2,,,,,,,,,,,,
3,01PFP,4105,A5-02,RCOT5-FALP,,105,100,2,,,,,,,,,,,,
3,01JJT,4108,Temp Location,VSC70BS,,70,100,2,,,,,,,,,,,,
3,02KY1,4105,SPECIAL KANBAN,VO18X0.6(B)-FALP,,140,50,2,,,,,,,,,,,,
3,01JJS,4105,Temp Location,VSC50BS,,175,100,2,,,,,,,,,,,,
3,02KY1,4105,SPECIAL KANBAN,VO18X0.6(B)-FALP,,380,50,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
