Production Lot,Parts Code,Line No,Stock Address,Parts Name,With Slit,Length (mm),Quantity,Required Kanban
3,7291,7114,G4-32,VO8X0.5(B),With Slit,580,100,3
3,7291,7114,Special Kanban,VO8X0.5(B),With Slit,495,50,3
3,7291,7114,G4-34,VO8X0.5(B),With Slit,240,100,3
3,7291,7114,G4-31,VO8X0.5(B),,225,100,3
3,7291,7114,G4-30,VO8X0.5(B),,130,100,3
3,7291,7114,G5-36,VO8X0.5(B),,150,100,3
3,7291,7114,G4-31,VO8X0.5(B),,225,100,3
3,01MNP,7114,H5-22,NCOT7-FALP,,385,100,3
3,17161,7114,G6-51,VO6X0.5(B),,175,100,3
3,01MNP,7114,H5-22,NCOT7-FALP,,385,100,3
3,17161,7114,G6-52,VO6X0.5(B),With Slit,1520,100,3
3,01MNP,7114,H1-20,NCOT7-FALP,,120,100,3
3,21429,7108,H5-09,VO22X0.6(B),With Slit,95,100,3
3,21429,7104,H5-06,VO22X0.6(B),With Slit,520,50,3
3,21430,7104,H5-11,VO24X0.6(B),With Slit,260,50,3
3,21430,7104,H5-12,VO24X0.6(B),With Slit,330,50,3
3,21430,7104,H5-13,VO24X0.6(B),With Slit,360,100,3
3,21430,7104,H5-14,VO24X0.6(B),With Slit,520,50,3
3,21429,7104,H5-01,VO22X0.6(B),With Slit,85,100,3
